id	Arousal	Dominance	Valence	sentence
Acephalous-Internet_29_105	3.0	3.0	3.0	b'The Internet occasionally reminds me of how different life is because of it'
Acephalous-Internet_107_317	3.0	3.0	3.0	b'I noted on Facebook that from a statistical perspective what makes baseball such an amazing sport is that you can watch it your entire life and still see on a daily basis something you\xe2\x80\x99ve never seen before'
Acephalous-Internet_319_388	2.0	3.0	3.0	b'It\xe2\x80\x99s a truism I know but it has the benefit of actually being true'
Acephalous-Internet_390_553	3.0	3.0	3.0	b'In this case the something in question was watching the wonderfully named Angel Pagan hit an insidethepark home run and initiate a triple play in the same game'
Acephalous-Internet_554_745	3.0	3.0	3.0	b'John Emerson responded with some humbug about it not being an insidethepark grand slam which made me remember that I had seen an insidethepark grand slam at some time in the remote past'
Acephalous-Internet_746_1108	3.0	3.0	3.0	b'I remember being six or seven years old and watching the Mets play the Cardinals in an afternoon game at Shea Stadium and thanks to the miracle of the Internet I can definitively say that at approximately 430 pm on 9 June 1985  I watched Terry Pendleton hit an insidethepark grand slam off Joe Sambito in a game the Cardinals would go on to win handily '
Acephalous-Internet_1108_1269	3.0	3.0	3.0	b'The fact that I can verify vague memories of events that occurred twentyfive years ago astounds me in a way I sometimes forget the Internet is capable of doing'
Acephalous-Internet_1270_1472	3.0	3.0	3.0	b'This realization is obviously not of worldhistorical importance merely a reminder that this thing whose existence we take for granted daily represents a fundamentally weird complement to human memory'
Acephalous-Internet_1473_1658	3.0	3.0	3.0	b'The fact that at some point in the future I can know who I rode in an elevator with on 28 December 2005 is less weird because I chose to write about riding in an elevator with Grimace '
Acephalous-Internet_1659_1776	3.0	3.0	3.0	b'That I can access detailed information about events I have no right remembering in detail is another matter entirely'
Acephalous-Internet_1782_1794	3.0	3.0	3.0	b'Joe Sambito'
Acephalous-Internet_1795_1799	5.0	3.0	4.0	b'Wow'
Acephalous-Internet_1800_1835	3.0	3.0	3.0	b'Id completely forgotten about him'
Acephalous-Internet_1836_1911	3.0	3.0	2.0	b'I sometimes wish I could forget that Pendelton is the Braves hitting coach'
Acephalous-Internet_1912_2036	3.0	3.0	3.0	b'Closest I came to that was watching Dale Murphy get tagged out at the plate on what would have been an insidethepark slam'
Acephalous-Internet_2095_2234	3.0	3.0	3.0	b'He pitched for the Astros before he came to the Mets stayed for 85 then he pitched for the Red Sox against the Mets in 86 World Series'
Acephalous-Internet_2235_2298	3.0	3.0	3.0	b'I remember him being ineffective and as it turns out he was '
Acephalous-Internet_2299_2485	3.0	3.0	3.0	b'Now that I remember him which I didnt before I remember him as being the pitcher whod pitched for 1 the team the Mets faced to get to the 86 Series and 2 the one they faced in it'
Acephalous-Internet_2486_2550	3.0	3.0	3.0	b'I didnt remember that I remember that but now that I do I do'
Acephalous-Internet_2551_2597	3.0	3.0	3.0	b'Memory as Gertrude Stein would say is funny'
Acephalous-Internet_2652_2750	3.0	3.0	3.0	b'Apparently the drug use sexual excess and weird UCI experiences havent softened your brain yet'
Acephalous-Internet_2752_2842	3.0	3.0	2.0	b'Whats really bothersome though is when you only remember things from your distant past'
Acephalous-Internet_2845_2974	3.0	3.0	3.0	b'My grandpa was alert till the end but when I last saw him at age 92 everything he wanted to talk about was 70 years in the past'
Acephalous-Internet_3039_3135	3.0	3.0	3.0	b'A guess but perhaps your grandfathers life at 22 was more interesting than the ensuing 70 yrs'
Acephalous-Internet_3201_3237	3.0	3.0	3.0	b'You know what makes this post great'
Acephalous-Internet_3238_3258	3.0	4.0	3.0	b'No stinking cricket'
Acephalous-Internet_3320_3487	3.0	3.0	3.0	b'Yeah I remember Sambito from the Astros when the Braves were in the old NL West because it made sense to have a team 3000 miles from most of their division rivals'
Acephalous-Internet_3488_3514	3.0	3.0	3.0	b'Solid pitcher for a while'
Acephalous-Internet_3515_3545	3.0	3.0	3.0	b'But burned out toward the end'
Acephalous-Internet_3546_3594	3.0	3.0	3.0	b'Apparently he is a players representative now'
Acephalous-Internet_3653_3671	3.0	3.0	3.0	b'Prosthetic memory'
Acephalous-Internet_3728_3829	3.0	3.0	3.0	b'I like to read about others watching baseball more than I like to watch baseball by a factor of nine'
Acephalous-Internet_3830_3982	3.0	3.0	3.0	b'Having given up on watching the actual sport mention of baseball now only sparks memories of The Old Man and the Sea and the old time baseball writers'
Acephalous-Internet_3983_4198	3.0	3.0	3.0	b'It is true that at the end of time the old time baseball writers will be hailed as the very best writers as they had access to an event that was susceptible to beautiful writing but horrendous to watch in person'
Acephalous-Internet_4199_4253	3.0	3.0	3.0	b'Plus they smoked a prodigious quantity of cigarettes'
Acephalous-Internet_4256_4321	3.0	3.0	3.0	b'nota bene An overdue library book is a crime against Humanities'
Anti-Terrorist_4_65	3.0	3.0	3.0	b'The AntiTerrorist  Undermining The Motivation For Terrorism'
Anti-Terrorist_68_120	2.0	3.0	3.0	b'By Rev Bill McGinnis  Director  LoveAllPeopleorg'
Anti-Terrorist_123_233	3.0	3.0	3.0	b'This website and everything on it is in the Public Domain so you may use it freely even without attribution'
Anti-Terrorist_239_270	3.0	3.0	3.0	b'BACKGROUND  September 11 2004'
Anti-Terrorist_272_408	3.0	3.0	3.0	b'Three years have now gone by since the September 11th attacks in 2001 and terrorism is a far greater threat to us now than it was then'
Anti-Terrorist_409_531	3.0	3.0	2.0	b'The number and severity of terrorist attacks worldwide has increased dramatically as has the number of active terrorists'
Anti-Terrorist_532_697	3.0	3.0	3.0	b'Before 911 terrorism was confined to a small number of extremist individuals loosely linked by radical Islam and hatred of Israel and its sole supporter the USA'
Anti-Terrorist_698_837	3.0	3.0	3.0	b'Now many more moderate Muslims have become radicalized worldwide willing to kill innocent civilians in order to achieve their purposes'
Anti-Terrorist_838_1024	3.0	3.0	2.0	b'And the serious targets have expanded to include civilians in Russia India Maylasia the Philippines Spain and elsewhere as well as Israel and its sole supporter the United States'
Anti-Terrorist_1025_1135	3.0	3.0	3.0	b'True the USA has not suffered a successful major attack since 911 but this does not mean that we are safer'
Anti-Terrorist_1136_1254	3.0	3.0	3.0	b'The terrorists could strike any time they choose through any of the numerous loopholes so well reported in our media'
Anti-Terrorist_1255_1425	3.0	3.0	3.0	b'But they have chosen not to attack perhaps because they are waiting to produce an effect even greater than the 911 attacks so they do not appear to be losing strength'
Anti-Terrorist_1426_1479	3.0	4.0	3.0	b'What could be more spectacular than the 911 attacks'
Anti-Terrorist_1480_1488	4.0	3.0	3.0	b'Nuclear'
Anti-Terrorist_1489_1520	4.0	3.0	3.0	b'Or massive biochemical attack'
Anti-Terrorist_1521_1567	3.0	3.0	3.0	b'And I think this is what they are waiting for'
Anti-Terrorist_1568_1810	3.0	3.0	3.0	b'All of our frantic preparations may have had some effect in preventing smalltime casual attacks but they cannot stop a serious planned attack any more than a mere door lock can stop a serious robber who really wants to get into your house'
Anti-Terrorist_1812_1901	3.0	3.0	3.0	b'So the Bush administration can keep claiming that we are safer now under their policies'
Anti-Terrorist_1902_1988	3.0	3.0	3.0	b'But this claim is merely feelgood propaganda intended to keep the neocons in power'
Anti-Terrorist_1989_2031	3.0	3.0	3.0	b'It cannot withstand clearheaded scrutiny'
Anti-Terrorist_2032_2130	3.0	3.0	2.0	b'The fact is Bush policies have failed completely even to diminish terrorism much less defeat it'
Anti-Terrorist_2131_2273	3.0	3.0	2.0	b'By trying to stamp out terrorism by killing terrorists Bush and Israel have made things infinitely worse for us more dangerous not safer'
Anti-Terrorist_2274_2389	3.0	3.0	2.0	b'And proof that Bush has failed may come at any moment explosively with one big successful attack here in the USA'
Anti-Terrorist_2391_2411	3.0	3.0	3.0	b'May God help us all'
Anti-Terrorist_2413_2431	3.0	3.0	3.0	b'WHAT IS TERRORISM'
Anti-Terrorist_2433_2590	3.0	3.0	3.0	b'TERRORISM is the systematic use of violence to create a general climate of fear in a population and thereby to bring about a particular political objective'
Anti-Terrorist_2669_2828	3.0	3.0	3.0	b'We believe that any terrorist act is a crime against humanity and against the will of God because it deliberately intends to injure and kill innocent people '
Anti-Terrorist_2830_2852	3.0	3.0	3.0	b'NEUTRALIZING TERRORISM'
Anti-Terrorist_2854_2932	3.0	3.0	3.0	b'Our purpose here is to NEUTRALIZE TERRORISM by removing the motivation for it'
Anti-Terrorist_2933_3013	3.0	3.0	3.0	b'Without motivation terrorism will quickly die down like a plant without water'
Anti-Terrorist_3016_3174	3.0	3.0	3.0	b'We completely reject the idea that terrorism can be defeated by brute force because brute force radicalizes the moderates and they then join the terrorists'
Anti-Terrorist_3175_3220	3.0	3.0	3.0	b'So you end up fighting the entire population'
Anti-Terrorist_3221_3284	3.0	3.0	3.0	b'Brute force has failed in Palestine and it is failing in Iraq'
Anti-Terrorist_3287_3656	3.0	3.0	3.0	b'We try to be evenhanded in opposing all terrorism although we recognize that the greatest terrorist threat in the world today comes from radical Muslims who falsely believe that Allah approves of their criminal behavior against Israel The United States Russia India the Philippines Australia and others whom they falsely believe to be waging war against Allah'
Anti-Terrorist_3658_3885	3.0	3.0	3.0	b'And the secondgreatest terrorist threat comes from several countries mainly Israel who sometimes resort to terrorism themselves claiming selfdefense as they desperately try to prevent further attacks by radical Muslims'
Anti-Terrorist_3886_4028	3.0	3.0	3.0	b'In all of these cases above if the radical Muslims would cease their attacks all terrorism on both sides of every dispute would quickly end'
Anti-Terrorist_4031_4279	3.0	3.0	3.0	b'Beyond these two sources there is virtually no terrorist activity in the world with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups'
Anti-Terrorist_4282_4370	3.0	3.0	3.0	b'The moral and religious theories which support terrorism are quite faulty and erroneous'
Anti-Terrorist_4371_4411	3.0	3.0	2.0	b'They need to be identified and attacked'
Anti-Terrorist_4412_4509	3.0	3.0	3.0	b'If the terrorist loses faith in the righteousness of his acts he is less likely to perform them'
Anti-Terrorist_4513_4550	3.0	3.0	3.0	b'EXAMPLE 1 Terrorists Offend Allah'
Anti-Terrorist_4553_4620	4.0	3.0	2.0	b'EXAMPLE 2 Terrorist Murderers Insult Allah Bring Shame To Islam'
Anti-Terrorist_4623_4694	3.0	4.0	3.0	b'EXAMPLE 3 LATEST AND BEST  Framed Below Quran Forbids Terrorism'
Anti-Terrorist_4697_4783	3.0	3.0	3.0	b'In every case of terrorism we will find some kind of legitimate underlying grievance'
Anti-Terrorist_4784_4869	3.0	4.0	3.0	b'If we eliminate the legitimate grievances we have eliminated much of the motivation'
Anti-Terrorist_4872_4990	3.0	3.0	3.0	b'Is this negotiating with terrorists or trying to appease the terrorists as some IsraeliNeoCons would try to say'
Anti-Terrorist_4991_4994	3.0	3.0	3.0	b'No'
Anti-Terrorist_4995_5070	3.0	3.0	3.0	b'It is simply recognizing the realities of human motivation right or wrong'
Anti-Terrorist_5071_5156	3.0	3.0	3.0	b'To deny reality as the IsraeliNeoCons do is to invite disaster as they have done'
Anti-Terrorist_5159_5170	3.0	3.0	3.0	b'BIG PICTURE'
Anti-Terrorist_5172_5251	3.0	3.0	3.0	b'A big picture of our entire AntiTerrorism strategy can be found at our website'
Anti-Terrorist_5315_5332	3.0	3.0	4.0	b'Blessings to you'
Anti-Terrorist_5333_5353	3.0	2.0	3.0	b'May God help us all'
Anti-Terrorist_5356_5373	3.0	2.0	4.0	b'Blessings to you'
Anti-Terrorist_5374_5394	3.0	3.0	3.0	b'May God help us all'
Anti-Terrorist_5397_5446	3.0	3.0	3.0	b' Rev Bill McGinnis Director  LoveAllPeopleorg'
blog-monastery_22_46	3.0	3.0	3.0	b'Tibetan Buddhist Retreat'
blog-monastery_58_193	3.0	3.0	3.0	b'Faded squares of fabric strung together in repeating bluewhiteredgreenyellow chains crisscross the branches of barelimbed trees'
blog-monastery_194_229	3.0	3.0	3.0	b'The gentle wind makes them flutter'
blog-monastery_230_339	3.0	3.0	3.0	b'Orangegold light filters into the grassy meadow touching a row of canvas tents and the temple house beyond'
blog-monastery_340_407	3.0	3.0	3.0	b'Tsechen Kunchab Ling  Temple of AllEncompassing Great Compassion'
blog-monastery_408_536	3.0	3.0	3.0	b'This is the seat of His Holiness the Sakya Trizin in the United States a Tibetan Buddhist monastery established nine years ago'
blog-monastery_538_569	2.0	3.0	3.0	b'I spent the past weekend there'
blog-monastery_570_643	3.0	3.0	3.0	b'The field work office at my college arranges this retreat every semester'
blog-monastery_644_802	3.0	3.0	3.0	b'Everyone Ive talked to who has previously attended says wonderful things about it this semester one of my friends told me she was going I should join her'
blog-monastery_803_846	3.0	3.0	3.0	b'I like learning new things so I signed up'
blog-monastery_847_1074	3.0	3.0	3.0	b'A good decision I didnt return all chill and zen as one friend told me his roommate had but I certainly gained a few new ideas and approaches to mull over and dipped my hand into a previously unfamiliar piece of the world'
blog-monastery_1076_1099	3.0	3.0	3.0	b'Medicine for ones mind'
blog-monastery_1101_1325	3.0	3.0	3.0	b'The first evening the twentysomething studentsmost from my college four from anothergathered in the shrine room sitting crosslegged on cushions as we listened to Khenpo Kalsang introduce Tibetan Buddhist philosophy'
blog-monastery_1326_1390	3.0	3.0	3.0	b'He began by telling us Do not take any of what I say on faith'
blog-monastery_1350_1457	3.0	3.0	3.0	b'Do not take any of what I say on faith Take it through analysis if there is some benefit in it for you'
blog-monastery_1391_1457	3.0	3.0	3.0	b'Take it through analysis if there is some benefit in it for you'
blog-monastery_1458_1514	3.0	3.0	3.0	b'Religion he said is like a drugstore full of medicine'
blog-monastery_1515_1621	3.0	3.0	3.0	b'You do not go to the drugstore and buy everything in ityou just buy what would be beneficial to you now'
blog-monastery_1622_1720	3.0	2.0	3.0	b'You believe the other medicine may have just as much value but in other situations not this one'
blog-monastery_1722_1858	3.0	3.0	3.0	b'We discussed the foundations the Three Turnings of the Wheel of Dharma the four noble truths karma defilements the six perfections'
blog-monastery_1859_2159	3.0	3.0	3.0	b'When we talked about the giving and how one should try to give what one could to other sentient beings in the form of material items kind words protection and so on Khenpo Kalsang shared a story of the Buddha and how the Buddha had given his flesh so that a family of hungry tigers could eat'
blog-monastery_2160_2249	3.0	3.0	3.0	b'So a fellow student asked Giving ones life for another being is the ultimate gift'
blog-monastery_2160_2165	3.0	3.0	3.0	b'So'
blog-monastery_2190_2249	3.0	3.0	3.0	b'Giving ones life for another being is the ultimate gift'
blog-monastery_2251_2297	3.0	3.0	4.0	b'Khenpo Kalsang he smiled and shook his head'
blog-monastery_2298_2336	3.0	3.0	3.0	b'Only if you feel no regret he said'
blog-monastery_2298_2327	3.0	3.0	3.0	b'Only if you feel no regret'
blog-monastery_2337_2381	3.0	3.0	3.0	b'If you feel regret it destroys the merit'
blog-monastery_2382_2476	3.0	3.0	3.0	b'Until then preserve your own life and do not give away anything that would cause you regret'
blog-monastery_2477_2497	3.0	3.0	3.0	b'This struck a chord'
blog-monastery_2498_2566	3.0	3.0	3.0	b'Selfpreservation above all else unless the right situation arises'
blog-monastery_2568_2593	3.0	3.0	3.0	b'Knowing and understanding'
blog-monastery_2595_2682	3.0	3.0	3.0	b'Later I talked to the resident nun Ani Kunga about psychology and cognitive science'
blog-monastery_2683_2882	3.0	3.0	3.0	b'She had studied psychology for a while in grad school but now holds the view that psychologists are going about understanding the mind and understanding the knower and what knowing is the wrong way'
blog-monastery_2883_2951	3.0	3.0	3.0	b'Psychologists she said study the brain and the self externally'
blog-monastery_2883_2899	3.0	3.0	3.0	b'Psychologists'
blog-monastery_2910_3153	3.0	3.0	3.0	b'study the brain and the self externally Ever since the 1920s their science has been about observation of behavior questionnaires recordings of electrical brain activity But the mind can only be known by you the person whose mind it is'
blog-monastery_2952_3084	3.0	3.0	3.0	b'Ever since the 1920s their science has been about observation of behavior questionnaires recordings of electrical brain activity'
blog-monastery_3085_3153	3.0	3.0	3.0	b'But the mind can only be known by you the person whose mind it is'
blog-monastery_3154_3251	3.0	3.0	3.0	b'She said philosophy and epistemology were doing it right looking at experiences from the inside'
blog-monastery_3253_3333	3.0	3.0	3.0	b'A big overlap exists between Tibetan Buddhism psychology and cognitive science'
blog-monastery_3334_3467	3.0	3.0	3.0	b'All three examine the distinction between the self and others between the observer and the observed between knowing and the knower'
blog-monastery_3468_3574	3.0	3.0	3.0	b'I agree with Ani Kunga to some extentonly so much can be known about the mind from external observation'
blog-monastery_3575_3688	3.0	3.0	3.0	b'But this doesnt mean that there isnt merit to such studies nor that nothing of use can be learned in that way'
blog-monastery_3690_3772	2.0	3.0	3.0	b'Tibetan Buddhist philosophy also approaches the mind and the self from the inside'
blog-monastery_3773_3891	3.0	3.0	3.0	b'During a second philsophy session Khenpo Kalsang translated a sutra about a king who received advice from the Buddha'
blog-monastery_3892_4037	3.0	3.0	3.0	b'This sutra delved into some questions about the nature of the self whether the self is a delusion and how the clinging of self is a defilement'
blog-monastery_4038_4096	3.0	3.0	3.0	b'I intend to discuss it in more depth later so stay tuned'
blog-monastery_4098_4134	3.0	3.0	3.0	b'Compassion training and prayer flags'
blog-monastery_4136_4225	3.0	3.0	3.0	b'In the afternoon a group of us gathered outside for a meditation session with Ani Kunga'
blog-monastery_4226_4359	3.0	3.0	4.0	b'Sunshine melted lazily through the tree branches above a breeze animating the branches shadows so they danced between our cushions'
blog-monastery_4360_4407	3.0	3.0	3.0	b'Compassion and anger were the sessions topics'
blog-monastery_4408_4424	3.0	3.0	3.0	b'The key message'
blog-monastery_4427_4546	3.0	3.0	3.0	b'If theres something you can do why are you unhappy Just do it If theres nothing you can do why are you unhappy'
blog-monastery_4427_4481	3.0	3.0	3.0	b'If theres something you can do why are you unhappy'
blog-monastery_4482_4493	3.0	4.0	3.0	b'Just do it'
blog-monastery_4494_4546	3.0	3.0	3.0	b'If theres nothing you can do why are you unhappy'
blog-monastery_4548_4707	3.0	3.0	3.0	b'Ani Kunga explained several offsession and one onsession technique for dealing with negative emotions anger hate irritation stress jealousy and so on'
blog-monastery_4708_4822	3.0	3.0	3.0	b'All the methods built off the idea that you are in control anger is an emotion and you can change your emotions'
blog-monastery_4823_4872	3.0	3.0	3.0	b'Stay tuned for a more indepth post on the topic'
blog-monastery_4874_4930	3.0	3.0	3.0	b'Another of the days activities was making prayer flags'
blog-monastery_4931_5040	3.0	3.0	3.0	b'As Ani Kunga explained Prayers wishes hopes aspirationssomeone many people may share those with you'
blog-monastery_4955_5361	3.0	3.0	3.0	b'Prayers wishes hopes aspirationssomeone many people may share those with you Hanging the prayer flag shares your prayer with everyone else in the world This may do no good at all but it mayif everyone hopes and wishes and dreams and aspires perhaps it will do good It may not But if no one shares their prayers it will certainly do no good So on the offchance that it will help why not'
blog-monastery_5041_5116	3.0	3.0	3.0	b'Hanging the prayer flag shares your prayer with everyone else in the world'
blog-monastery_5117_5234	3.0	3.0	3.0	b'This may do no good at all but it mayif everyone hopes and wishes and dreams and aspires perhaps it will do good'
blog-monastery_5235_5246	3.0	3.0	3.0	b'It may not'
blog-monastery_5247_5312	3.0	3.0	3.0	b'But if no one shares their prayers it will certainly do no good'
blog-monastery_5313_5361	3.0	3.0	3.0	b'So on the offchance that it will help why not'
blog-monastery_5363_5373	2.0	2.0	2.0	b'Never done'
blog-monastery_5375_5427	3.0	3.0	3.0	b'This weekend reminded me that Im not done learning'
blog-monastery_5428_5656	3.0	3.0	3.0	b'If I stay still long enough if Ive achieved a relatively constant level of happiness and satisfaction I forget that I can and should continue to seek out new ideas and approaches and incorporate beneficial ones into my life'
blog-monastery_5657_5837	3.0	3.0	3.0	b'A person is never done and so Ill continue to observe and discuss and study trying to pick the directions in which Ill change and trying to make tomorrow better than today'
blog-monastery_5675_5682	3.0	3.0	3.0	b'done'
blog-monastery_5839_5867	3.0	3.0	3.0	b'Ever onward and ever upward'
blog-new-year's-resolutions_21_96	3.0	3.0	3.0	b'Selfcontrol Selfefficacy and New Years Resolutions Unresolved'
blog-new-year's-resolutions_107_150	3.0	3.0	3.0	b'Im not one to make New Years resolutions'
blog-new-year's-resolutions_152_423	3.0	3.0	3.0	b'I mean sure I could take my pick of popular New Years resolutions  I could decide on the first day of the new year that this year Ill start exercising more and eating better or that Ill spend more time with my family and friends or that Ill learn a new skill'
blog-new-year's-resolutions_424_627	3.0	3.0	3.0	b'And if I chose to make resolutions Id be far from alonea 2008 survey on Dorthycom found that 66 of the 2000 adults polled had made resolutions at some point though only 17 managed to keep them'
blog-new-year's-resolutions_629_672	3.0	3.0	3.0	b'Making resolutions Its about selfcontrol'
blog-new-year's-resolutions_674_948	3.0	3.0	3.0	b'The question Anirban Mukhopadhyay of the Hong Kong University and Gita Venkatarmani Johar of the Graduate School of Business at Columbia University asked is this What determines how many goals a person will set and how successful a person will be at achieving those goals'
blog-new-year's-resolutions_949_1071	3.0	3.0	3.0	b'They performed a few studies in 2005 to look at the relationship between selfcontrol goal setting and goal achievement'
blog-new-year's-resolutions_1072_1172	3.0	3.0	3.0	b'They suggested that what you believe about selfcontrol affects the goals you set and achieve PDF'
blog-new-year's-resolutions_1174_1240	3.0	3.0	3.0	b'In the paper selfcontrol is used to mean a sense of willpower'
blog-new-year's-resolutions_1188_1202	3.0	4.0	3.0	b'selfcontrol'
blog-new-year's-resolutions_1241_1572	3.0	3.0	3.0	b'Mukhopadhyay  Venkatarmani discuss various lay theories of selfcontrol noting that the amount of selfcontrol a person has can be seen as either an inherently limited or unlimited resource and that this resource can be seen either as malleable or as fixed the amount of selfcontrol a person has can change over time or not'
blog-new-year's-resolutions_1573_1737	3.0	3.0	3.0	b'An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained'
blog-new-year's-resolutions_1738_1817	3.0	3.0	3.0	b'So if you think youll be able to achieve a goal youre more likely to set it'
blog-new-year's-resolutions_1818_1972	3.0	4.0	3.0	b'Combine this with theories of selfcontrol and in general if you believe you have unlimited stores of selfcontrol youll set a larger number of goals'
blog-new-year's-resolutions_1973_2050	2.0	3.0	2.0	b'If you believe selfcontrol is malleable but limited youll set fewer goals'
blog-new-year's-resolutions_2052_2190	3.0	3.0	3.0	b'Mukhopadhyay  Venkatarmani also discuss selfefficacy belief in ones capabilities the perceived ability to carry out a desired action'
blog-new-year's-resolutions_2191_2524	3.0	3.0	3.0	b'They propose that people with high selfefficacypeople who believe that failure is the result of insufficient effort and thus exhibit increased commitment and persistencewill achieve more of their goals than people with low selfefficacy who tend to view failure as the result of deficient ability and thus may simply give up'
blog-new-year's-resolutions_2526_2537	3.0	3.0	3.0	b'The studies'
blog-new-year's-resolutions_2539_2669	3.0	3.0	3.0	b'In the first study 85 participants all college students each read one of four passages presenting lay theories of selfcontrol'
blog-new-year's-resolutions_2670_2844	3.0	3.0	3.0	b'Each passage contained two paragraphs the first discussed selfcontrol either as limited or as unlimited and the second discussed selfcontrol as either malleable or fixed'
blog-new-year's-resolutions_2845_3042	3.0	3.0	3.0	b'The participants then answered questions about their belief in each of two theories presented followed by a second questionnaire to assess motivation in which they listed all their current goals'
blog-new-year's-resolutions_3044_3189	3.0	3.0	3.0	b'The study was testing whether a belief in unlimited malleable selfcontrol would result in most resolutions and indeed this is what was found'
blog-new-year's-resolutions_3190_3411	3.0	3.0	3.0	b'The experimenters had some concerns about participants natural beliefs in relation to the passages they read however so in study two the order of the two measures lay theories and motivationgoal listing was varied'
blog-new-year's-resolutions_3412_3655	3.0	3.0	3.0	b'Data from 130 new participants revealed that as hypothesized if the motivation  goals questionnaire were assessed first then among the people who believed selfcontrol is malleable those who also believed selfcontrol to be unlimited vs'
blog-new-year's-resolutions_3656_3680	3.0	3.0	3.0	b'limited set more goals'
blog-new-year's-resolutions_3681_3741	3.0	3.0	3.0	b'When lay theories were assessed first this result reversed'
blog-new-year's-resolutions_3742_3818	3.0	3.0	3.0	b'The people who believed that selfcontrol is fixed were unaffected by order'
blog-new-year's-resolutions_3820_3916	3.0	3.0	3.0	b'The third study moved on to examine goal achievement adding a measure to look at selfefficacy'
blog-new-year's-resolutions_3917_3971	3.0	3.0	3.0	b'The study had two sessions in November then February'
